client_id,created_at,enable_ai_esp_matching,follow_up_percentage,id,max_leads_per_day,min_time_btwn_emails,name,parent_campaign_id,schedule_start_time,scheduler_cron_value.days,scheduler_cron_value.endHour,scheduler_cron_value.startHour,scheduler_cron_value.tz,send_as_plain_text,status,stop_lead_settings,track_settings,unsubscribe_text,updated_at,user_id
4473,2024-11-14T07:01:47.802Z,False,40,899108,400,15,"11/14 | POI | Sequence #9: $3000 in Amazon ad credits | Generic + Direct | Shopify Plus Brands | Buildwith Region : UK, EU | Existing healthy senders + Reassigned AI senders | NOTRACK | MX provider – Mix",,,"[2, 3, 5, 1, 4]",16:56,04:51,Europe/London,True,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-13T23:00:21.111Z,2368
4473,2024-11-11T12:07:32.921Z,False,40,879989,621,15,"11/11 | POI | Sequence #9: $3000 in Amazon ad credits | Generic + Direct | Buildwith Region : US, CA, AU, NZ | Existing healthy senders + Reassigned AI senders | NOTRACK | MX provider - Google",,,"[2, 3, 5, 1, 4]",16:18,06:06,America/New_York,True,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-14T04:00:20.863Z,2368
12411,2024-11-04T09:24:33.861Z,False,100,837826,125,60,Warm FUs,837825,,"[1, 2, 3, 4, 5]",16:07,09:00,Europe/London,False,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-13T23:00:21.111Z,2368
13148,2024-10-17T06:48:19.409Z,False,40,725501,100,20,OOO,718833,,"[1, 2, 3, 4, 5]",18:06,10:00,America/New_York,True,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-14T04:00:20.863Z,2368
5136,2024-10-03T09:12:36.547Z,False,100,668235,100,20,warm FUs,668232,,"[1, 2, 3, 4, 5]",17:57,08:50,America/Tijuana,False,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T07:00:21.023Z,2368
1065,2024-10-03T08:16:57.420Z,False,100,668119,100,10,OOO,663202,,"[1, 2, 3, 4, 5]",20:13,07:05,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T04:00:20.863Z,2368
831,2024-10-01T07:36:56.022Z,False,40,662068,980,10,10/1 SEM  | Sequence #14: question opener + pain focus followup | Leadswift + Apollo| using July2024 senders |Reused Past Sheets | NOTRACK,,,"[1, 2, 3, 4, 0, 5, 6]",15:32,07:19,America/New_York,True,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]","If you're not interested, please click here to stop future correspondence. Thanks.",2025-09-14T04:00:20.863Z,2368
8872,2024-09-27T16:56:52.350Z,False,100,655732,100,20,OOO,655729,,"[1, 2, 3, 4, 5]",18:39,09:06,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T04:00:20.863Z,2368
19645,2024-09-23T11:43:27.611Z,False,40,641473,100,20,Warm FU Sequence #2 - 04/26 - shortened,626321,,"[1, 2, 3, 4, 5]",18:51,10:49,Europe/London,True,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-14T02:02:13.726Z,2368
1064,2024-09-18T08:57:07.878Z,False,50,631877,80,10,09/18 | BST | Construction | NOTRACK | SPLIT TEST 2X |,,,"[1, 2, 3, 4, 5]",18:56,08:30,America/New_York,True,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-14T12:02:43.824Z,2368
5136,2024-09-17T12:07:13.314Z,False,100,629295,100,5,OOO,629292,,"[1, 2, 3, 4, 5]",15:20,07:55,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T04:00:20.863Z,2368
5136,2024-09-17T11:58:45.729Z,False,100,629253,100,5,OOO,629251,,"[1, 2, 3, 4, 5]",16:17,08:26,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T05:03:00.339Z,2368
5082,2024-09-17T11:38:02.448Z,False,100,629200,100,5,OOO,629199,,"[1, 2, 3, 4, 5]",16:56,08:34,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T04:00:20.863Z,2368
4269,2024-09-16T13:21:33.894Z,False,100,626349,100,20,OOO,626344,,"[1, 2, 3, 4, 5]",14:59,08:26,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T04:00:20.863Z,2368
